Timestamp,accel radians per second per second,predicted accel radians per second per second,velocity radians per second,applied_voltage volts,residual radians per second per second,raw velocity radians per second
0.000000,688.280355,820.749945,0.271462,11.536000,-132.469590,2.948314
0.009000,701.373882,719.999704,6.223225,11.729000,-18.625822,6.551809
0.016000,676.737702,643.923537,11.062276,11.960000,32.814165,6.551809
0.023000,635.978135,553.056850,15.726087,11.960000,82.921285,12.448438
0.031000,575.956336,465.551080,20.536945,12.039000,110.405256,19.983019
0.038000,525.007761,395.934426,24.356820,12.100000,129.073335,27.517600
0.047000,460.917046,316.223654,28.747369,12.174000,144.693392,27.517600
0.055000,405.786987,251.833224,32.052263,12.174000,153.953763,32.759047
0.063000,354.236886,197.239309,34.927151,12.192000,156.997577,36.690133
0.071000,307.125216,151.285255,37.354547,12.209000,155.839961,39.966038
0.079000,264.207729,112.821435,39.417724,12.231000,151.386294,40.621219
0.087000,227.991816,74.551027,41.402210,12.236000,153.440789,40.621219
0.095000,190.695048,46.212200,42.856725,12.236000,144.482848,41.931581
0.102000,155.088558,37.255953,43.368996,12.249000,117.832605,42.259171
0.109000,122.375715,32.335608,43.674121,12.262000,90.040107,43.897124
0.117000,94.115105,25.074313,44.026588,12.257000,69.040791,43.897124
0.126000,73.006067,14.510237,44.568799,12.257000,58.495830,43.569533
0.134000,52.469865,14.718552,44.558107,12.257000,37.751314,44.224714
0.141000,37.900511,14.601163,44.584356,12.262000,23.299348,44.224714
0.148000,27.925058,13.818338,44.656895,12.270000,14.106720,44.879895
0.156000,22.828312,11.085901,44.797139,12.270000,11.742411,44.879895
0.163000,18.194619,9.204603,44.893699,12.270000,8.990016,44.552305
0.170000,13.110117,8.991920,44.872256,12.262000,4.118197,44.879895
0.180000,8.433938,8.909717,44.892654,12.266000,-0.475779,44.879895
0.187000,5.286885,10.356214,44.834591,12.270000,-5.069329,44.879895
0.194000,5.666060,10.590502,44.822566,12.270000,-4.924442,45.207486
0.201000,4.649388,10.129564,44.846224,12.270000,-5.480175,44.879895
0.209000,2.633417,10.967324,44.823450,12.275000,-8.333907,45.207486
0.218000,1.680397,9.530244,44.824401,12.257000,-7.849847,44.224714
0.226000,0.652838,9.896626,44.805596,12.257000,-9.243788,44.224714
0.234000,0.767667,9.610729,44.820270,12.257000,-8.843063,44.879895
0.241000,0.879398,10.733164,44.835469,12.275000,-9.853766,44.552305
0.249000,0.826912,11.590158,44.807662,12.279000,-10.763246,44.879895
0.256000,0.813931,10.943200,44.824688,12.275000,-10.129269,44.879895
0.264000,0.865331,10.556054,44.844559,12.275000,-9.690723,44.879895
0.271000,1.312160,10.595680,44.842525,12.275000,-9.283520,45.535076
0.280000,2.023689,9.460660,44.900781,12.275000,-7.436970,44.879895
0.292000,2.448171,8.844776,44.932392,12.275000,-6.396605,44.879895
0.301000,2.123155,6.393723,45.037970,12.270000,-4.270568,44.879895
0.308000,0.622743,5.655947,45.043477,12.262000,-5.033204,44.879895
0.316000,-0.423635,6.487885,45.000777,12.262000,-6.911519,44.879895
0.323000,-0.476366,6.619791,44.994007,12.262000,-7.096157,44.879895
0.331000,-1.085682,7.656599,44.956972,12.266000,-8.742281,45.207486
0.339000,-1.210655,7.766909,44.935130,12.262000,-8.977564,44.879895
0.348000,-1.317797,8.599353,44.908584,12.266000,-9.917150,44.879895
0.356000,-0.777947,9.512196,44.861732,12.266000,-10.290144,45.207486
0.363000,0.031184,8.695640,44.903642,12.266000,-8.664456,44.879895
0.371000,-0.089585,8.719482,44.902418,12.266000,-8.809067,45.207486
0.378000,-0.212003,9.084743,44.899851,12.270000,-9.296746,44.552305
0.386000,-0.324669,9.167846,44.895585,12.270000,-9.492515,44.552305
0.393000,-0.459017,9.295050,44.889056,12.270000,-9.754067,44.879895
0.401000,-0.108254,9.500508,44.862331,12.266000,-9.608762,44.879895
0.408000,0.084958,9.899694,44.841843,12.266000,-9.814736,44.879895
0.416000,1.030709,9.938361,44.856038,12.270000,-8.907653,44.879895
0.423000,1.226545,9.898424,44.858088,12.270000,-8.671879,44.879895
0.434000,1.706710,9.574968,44.874689,12.270000,-7.868258,45.207486
0.442000,2.519587,8.370686,44.920321,12.266000,-5.851099,44.879895
0.451000,2.265238,7.635819,44.974218,12.270000,-5.370582,44.879895
0.459000,2.551864,6.649384,45.045072,12.275000,-4.097520,44.879895
0.468000,1.670557,5.220351,45.065835,12.262000,-3.549794,44.879895
0.475000,0.850950,5.197215,45.067022,12.262000,-4.346265,44.879895
0.483000,0.993863,6.360744,45.059887,12.275000,-5.366881,45.207486
0.493000,0.513546,6.044111,45.076138,12.275000,-5.530565,45.207486
0.500000,0.682766,6.610910,45.063227,12.279000,-5.928144,45.207486
0.508000,0.721726,6.792241,45.053920,12.279000,-6.070516,45.207486
0.518000,0.693421,6.629512,45.046092,12.275000,-5.936090,45.207486
0.527000,0.687583,5.882096,45.084454,12.275000,-5.194513,45.207486
0.535000,0.691430,6.040900,45.076303,12.275000,-5.349471,44.879895
0.546000,0.642360,6.505258,45.068649,12.279000,-5.862899,44.879895
0.552000,0.044532,6.425367,45.072750,12.279000,-6.380835,44.879895
0.556000,-0.121887,6.556682,45.049830,12.275000,-6.678569,44.879895
0.568000,-0.137950,7.099565,45.021966,12.275000,-7.237515,45.207486
0.579000,0.381328,6.701462,45.022175,12.270000,-6.320134,44.879895
0.587000,1.324476,7.264052,45.013524,12.275000,-5.939576,45.207486
0.595000,1.548736,6.776888,45.038528,12.275000,-5.228152,45.207486
0.603000,2.359784,5.467863,45.053131,12.262000,-3.108079,45.207486
0.611000,2.455024,5.063893,45.106224,12.270000,-2.608868,44.879895
0.618000,2.158282,4.084625,45.176711,12.275000,-1.926343,45.207486
0.626000,1.484497,3.399769,45.211861,12.275000,-1.915272,45.207486
0.633000,0.890965,3.091493,45.227684,12.275000,-2.200528,44.879895
0.641000,0.212975,2.991778,45.232802,12.275000,-2.778803,45.207486
0.649000,-0.465237,2.722024,45.226423,12.270000,-3.187261,45.207486
0.658000,-0.257908,3.319236,45.215995,12.275000,-3.577144,45.207486
0.666000,-0.748198,4.054729,45.178245,12.275000,-4.802926,45.535076
0.674000,-0.590014,4.687659,45.161939,12.279000,-5.277673,45.207486
0.683000,-0.423296,4.633951,45.148516,12.275000,-5.057247,45.535076
0.696000,-0.758602,4.045036,45.158518,12.270000,-4.803638,45.207486
0.707000,-1.500808,4.582776,45.130918,12.270000,-6.083584,44.879895
0.716000,-1.121430,5.508653,45.103621,12.275000,-6.630083,44.879895
0.726000,-0.690901,4.893937,45.082588,12.262000,-5.584838,44.879895
0.733000,-1.319561,5.714611,45.056646,12.266000,-7.034173,44.879895
0.741000,-0.881615,6.557801,45.029548,12.270000,-7.439416,44.879895
0.748000,-0.591161,6.633655,45.009475,12.266000,-7.224816,45.207486
0.756000,-0.335450,6.888321,44.996404,12.266000,-7.223771,45.207486
0.763000,0.306806,7.267867,45.013328,12.275000,-6.961061,45.207486
0.771000,0.033707,6.882081,45.033129,12.275000,-6.848374,45.207486
0.778000,0.614555,5.383879,45.089801,12.270000,-4.769323,44.879895
0.786000,0.786821,4.605009,45.129777,12.270000,-3.818187,44.879895
0.793000,0.387857,4.431849,45.138664,12.270000,-4.043993,45.207486
0.801000,-0.154579,4.842610,45.137806,12.275000,-4.997189,45.207486
0.810000,-0.840003,5.103345,45.124424,12.275000,-5.943348,44.879895
0.819000,-1.000086,5.260886,45.079934,12.266000,-6.260973,45.207486
0.827000,-1.070065,6.138318,45.034899,12.266000,-7.208384,45.207486
0.838000,-0.452456,6.504204,45.016119,12.266000,-6.956659,45.207486
0.845000,0.023725,6.614369,45.010465,12.266000,-6.590644,45.207486
0.853000,0.514560,6.229302,45.014049,12.262000,-5.714742,44.879895
0.861000,0.971150,5.974684,45.027118,12.262000,-5.003534,44.879895
0.868000,0.874477,6.424781,45.020196,12.266000,-5.550304,44.879895
